,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
11032,Anaheim,2010,1,11-28 22:00:00,2010-11-28,22,41,57,0,6,41,41
20931,Oakland,2009,1,02-01 19:38:00,2009-02-01,19,54,66,0,6,54,43
10108,Novato,2011,1,11-22 18:00:00,2011-11-22,18,48,86,9,6,48,6
49572,Warrensburg,2012,1,07-04 22:45:00,2012-07-04,22,79,74,2,6,84,100
48534,Clarksville,2010,1,07-03 22:20:00,2010-07-03,22,77,72,26,6,79,50
40617,Woodbury,2013,1,06-22 04:30:00,2013-06-22,4,63,96,48,2,63,98
23024,Tampa,2013,1,02-25 23:14:00,2013-02-25,23,70,79,10,6,75,100
36772,Eagle,2009,1,05-07 21:30:00,2009-05-07,21,91,35,0,6,91,88
40973,Amargosa Valley,2011,1,06-24 19:00:00,2011-06-24,19,81,10,0,6,77,32
23391,Saco,2014,1,02-28 08:10:00,2014-02-28,8,12,74,0,6,12,0
59927,Waterville,2009,1,09-19 12:35:00,2009-09-19,12,59,46,0,6,59,0
14629,Eufaula,2010,1,12-13 23:45:00,2010-12-13,23,25,40,0,6,25,47
43003,Salem,2012,1,06-07 22:37:00,2012-06-07,22,79,66,38,6,81,72
24722,Wolcott,2011,1,03-01 19:46:00,2011-03-01,19,27,72,8,6,27,15
36889,Graham,2010,1,05-08 22:15:00,2010-05-08,22,70,52,24,6,72,27
49028,Chester,2008,1,07-04 22:50:00,2008-07-04,22,55,92,72,6,55,3
38165,Louisburg,2013,1,06-01 21:30:00,2013-06-01,21,72,86,4,6,75,37
10600,San Ramon,2012,1,11-25 19:38:00,2012-11-25,19,75,76,44,4,79,81
31713,Coeur D&#39Alene,2014,1,04-28 03:33:00,2014-04-28,3,30,96,46,1,30,0
22909,Browns Summit,2014,1,02-24 04:00:00,2014-02-24,4,41,77,15,6,41,20
38587,Pawleys Island,2012,1,06-14 20:00:00,2012-06-14,20,72,86,25,6,77,19
6629,Delray Beach,2013,1,11-11 19:30:00,2013-11-11,19,77,78,28,6,81,56
